number,opcode,operands,result,may_throw,may_bailout,may_call_php,may_run_dtor,reference_semantics,observer_boundary,interrupt_boundary,existing_jit_support,planned_znmir_lowering,n0_x64,n0_a64,special_cases,effect_ids,read_domains,write_domains,ownership_actions,barrier_ids,tests,source_refs,reason
0,ZEND_NOP,"{""dispatches"":[],""extended"":[],""handler_style"":""ZEND_VM_HOT_HANDLER"",""op1"":[""ANY""],""op2"":[""ANY""],""spec"":[],""variants"":[]}",none,never,never,never,never,The cited handler has no reference-specific path; ordinary zval operands may still be dereferenced only according to their declared handler forms.,never,never,partial,runtime.misc,not_started,not_started,[],[],[],[],[],[],"[""contract.opcode_matrix"",""opcode.ZEND_NOP""]","[{""end_line"":8144,""path"":""Zend/zend_vm_def.h"",""start_line"":8138,""symbol"":""ZEND_NOP""},{""end_line"":2726,""path"":""ext/opcache/jit/zend_jit.c"",""start_line"":2726,""symbol"":""ZEND_NOP""}]",The cited VM definition is an explicit control/metadata no-op with pure/no-memory/no-ownership behavior; it contains no semantic value access.
112,ZEND_INIT_METHOD_CALL,"{""dispatches"":[],""extended"":[""NUM"",""CACHE_SLOT""],""handler_style"":""ZEND_VM_HOT_OBJ_HANDLER"",""op1"":[""CONST"",""TMP"",""UNUSED"",""THIS"",""CV""],""op2"":[""CONST"",""TMP"",""CV""],""spec"":[],""variants"":[]}",call_frame,conditional,conditional,never,conditional,"The cited handler contains an explicit reference, indirect, dereference, or separation path; preserve alias identity and the listed ownership actions.",never,never,both,call.dynamic,not_started,not_started,"[""call"",""destructor"",""exception"",""reference"",""zts""]","[""allocate"",""bailout"",""call_internal"",""read_memory"",""reenter_php"",""run_destructor"",""throw"",""write_memory""]","[""engine.exception"",""frame.args"",""frame.call_chain"",""frame.locals"",""frame.temps"",""heap.object"",""heap.reference"",""heap.string"",""heap.zval"",""runtime.cache""]","[""engine.exception"",""frame.call_chain"",""gc.metadata"",""heap.zval""]","[""canonicalize"",""conditional_destroy"",""copy_addref"",""transfer""]","[""bailout"",""destructor"",""exception"",""reentrancy"",""safepoint""]","[""contract.opcode_matrix"",""opcode.ZEND_INIT_METHOD_CALL""]","[{""end_line"":3760,""path"":""Zend/zend_vm_def.h"",""start_line"":3606,""symbol"":""ZEND_INIT_METHOD_CALL""},{""end_line"":2625,""path"":""ext/opcache/jit/zend_jit.c"",""start_line"":2625,""symbol"":""ZEND_INIT_METHOD_CALL""},{""end_line"":6361,""path"":""ext/opcache/jit/zend_jit_trace.c"",""start_line"":6361,""symbol"":""ZEND_INIT_METHOD_CALL""}]","The cited VM handler and operand declaration provide the exception, bailout, destructor, allocation, reference/indirect, ZTS executor-global paths used for this conservative annotation; JIT status uses only cited compiler cases."
113,ZEND_INIT_STATIC_METHOD_CALL,"{""dispatches"":[],""extended"":[""NUM"",""CACHE_SLOT""],""handler_style"":""ZEND_VM_HANDLER"",""op1"":[""UNUSED"",""CLASS_FETCH"",""CONST"",""VAR""],""op2"":[""CONST"",""TMP"",""UNUSED"",""CONSTRUCTOR"",""CV""],""spec"":[],""variants"":[]}",call_frame,conditional,conditional,never,conditional,"The cited handler contains an explicit reference, indirect, dereference, or separation path; preserve alias identity and the listed ownership actions.",never,never,both,call.dynamic,not_started,not_started,"[""call"",""destructor"",""exception"",""reference"",""zts""]","[""allocate"",""bailout"",""call_internal"",""read_memory"",""reenter_php"",""run_destructor"",""throw"",""write_memory""]","[""engine.class_table"",""engine.exception"",""frame.args"",""frame.call_chain"",""frame.locals"",""frame.temps"",""heap.object"",""heap.reference"",""heap.string"",""heap.zval"",""runtime.cache""]","[""engine.exception"",""frame.call_chain"",""gc.metadata"",""heap.zval""]","[""canonicalize"",""conditional_destroy"",""transfer""]","[""bailout"",""destructor"",""exception"",""reentrancy"",""safepoint""]","[""contract.opcode_matrix"",""opcode.ZEND_INIT_STATIC_METHOD_CALL""]","[{""end_line"":3893,""path"":""Zend/zend_vm_def.h"",""start_line"":3761,""symbol"":""ZEND_INIT_STATIC_METHOD_CALL""},{""end_line"":2667,""path"":""ext/opcache/jit/zend_jit.c"",""start_line"":2667,""symbol"":""ZEND_INIT_STATIC_METHOD_CALL""},{""end_line"":6431,""path"":""ext/opcache/jit/zend_jit_trace.c"",""start_line"":6431,""symbol"":""ZEND_INIT_STATIC_METHOD_CALL""}]","The cited VM handler and operand declaration provide the exception, bailout, destructor, allocation, reference/indirect, ZTS executor-global paths used for this conservative annotation; JIT status uses only cited compiler cases."
114,ZEND_ISSET_ISEMPTY_VAR,"{""dispatches"":[],""extended"":[""VAR_FETCH"",""ISSET""],""handler_style"":""ZEND_VM_HANDLER"",""op1"":[""CONST"",""TMP"",""CV""],""op2"":[""UNUSED""],""spec"":[],""variants"":[]}",temporary,conditional,conditional,never,conditional,"The cited handler contains an explicit reference, indirect, dereference, or separation path; preserve alias identity and the listed ownership actions.",never,never,partial,runtime.variable,not_started,not_started,"[""destructor"",""exception"",""reference""]","[""bailout"",""call_internal"",""read_memory"",""reenter_php"",""run_destructor"",""throw"",""write_memory""]","[""engine.exception"",""frame.call_chain"",""frame.locals"",""frame.temps"",""heap.array"",""heap.reference"",""heap.string"",""heap.zval"",""runtime.symbol_table""]","[""engine.exception"",""frame.call_chain"",""frame.temps"",""heap.reference"",""heap.zval""]","[""canonicalize"",""conditional_destroy"",""produce_owned""]","[""bailout"",""destructor"",""exception"",""reentrancy"",""safepoint""]","[""contract.opcode_matrix"",""opcode.ZEND_ISSET_ISEMPTY_VAR""]","[{""end_line"":7570,""path"":""Zend/zend_vm_def.h"",""start_line"":7526,""symbol"":""ZEND_ISSET_ISEMPTY_VAR""},{""end_line"":286,""path"":""ext/opcache/jit/zend_jit_trace.c"",""start_line"":286,""symbol"":""ZEND_ISSET_ISEMPTY_VAR""}]","The cited VM handler and operand declaration provide the exception, bailout, destructor, reference/indirect paths used for this conservative annotation; JIT status uses only cited compiler cases."
115,ZEND_ISSET_ISEMPTY_DIM_OBJ,"{""dispatches"":[],""extended"":[""ISSET""],""handler_style"":""ZEND_VM_COLD_CONSTCONST_HANDLER"",""op1"":[""CONST"",""TMP"",""CV""],""op2"":[""CONST"",""TMP"",""CV""],""spec"":[],""variants"":[]}",temporary,conditional,conditional,never,conditional,"The cited handler contains an explicit reference, indirect, dereference, or separation path; preserve alias identity and the listed ownership actions.",never,never,both,runtime.array,not_started,not_started,"[""destructor"",""exception"",""reference"",""zts""]","[""bailout"",""call_internal"",""read_memory"",""reenter_php"",""run_destructor"",""throw"",""write_memory""]","[""engine.exception"",""frame.call_chain"",""frame.locals"",""frame.temps"",""heap.array"",""heap.object"",""heap.reference"",""heap.string"",""heap.zval""]","[""engine.exception"",""frame.call_chain"",""frame.temps"",""heap.reference"",""heap.zval""]","[""canonicalize"",""conditional_destroy"",""produce_owned""]","[""bailout"",""destructor"",""exception"",""reentrancy"",""safepoint""]","[""contract.opcode_matrix"",""opcode.ZEND_ISSET_ISEMPTY_DIM_OBJ""]","[{""end_line"":7669,""path"":""Zend/zend_vm_def.h"",""start_line"":7591,""symbol"":""ZEND_ISSET_ISEMPTY_DIM_OBJ""},{""end_line"":2416,""path"":""ext/opcache/jit/zend_jit.c"",""start_line"":2416,""symbol"":""ZEND_ISSET_ISEMPTY_DIM_OBJ""},{""end_line"":5952,""path"":""ext/opcache/jit/zend_jit_trace.c"",""start_line"":5952,""symbol"":""ZEND_ISSET_ISEMPTY_DIM_OBJ""}]","The cited VM handler and operand declaration provide the exception, bailout, destructor, reference/indirect, ZTS executor-global paths used for this conservative annotation; JIT status uses only cited compiler cases."
116,ZEND_SEND_VAL_EX,"{""dispatches"":[{""kind"":""helper"",""source_line"":4966,""target"":""zend_cannot_pass_by_ref_helper"",""target_end_line"":4940,""target_start_line"":4929}],""extended"":[],""handler_style"":""ZEND_VM_HOT_SEND_HANDLER"",""op1"":[""CONST"",""TMP""],""op2"":[""CONST"",""UNUSED"",""NUM""],""spec"":[""QUICK_ARG""],""variants"":[{""condition"":""op->op2_type == IS_UNUSED && op->op2.num <= MAX_ARG_FLAG_NUM && op->op1_type == IS_CONST && !Z_REFCOUNTED_P(RT_CONSTANT(op, op->op1))"",""extended"":[],""handler_style"":""ZEND_VM_HOT_TYPE_SPEC_HANDLER"",""name"":""ZEND_SEND_VAL_EX_SIMPLE"",""op1"":[""CONST""],""op2"":[""NUM""],""source_line"":10544,""spec"":[]}]}",none,conditional,conditional,never,conditional,The cited handler has no reference-specific path; ordinary zval operands may still be dereferenced only according to their declared handler forms.,never,never,both,runtime.misc,not_started,not_started,"[""destructor"",""exception""]","[""bailout"",""call_internal"",""read_memory"",""reenter_php"",""run_destructor"",""throw"",""write_memory""]","[""engine.exception"",""frame.args"",""frame.call_chain"",""frame.temps"",""heap.string"",""heap.zval"",""runtime.cache""]","[""engine.exception"",""frame.args"",""frame.call_chain"",""gc.metadata"",""heap.zval""]","[""borrow"",""conditional_destroy"",""copy_addref"",""move""]","[""bailout"",""destructor"",""exception"",""reentrancy"",""safepoint""]","[""contract.opcode_matrix"",""opcode.ZEND_SEND_VAL_EX""]","[{""end_line"":4940,""path"":""Zend/zend_vm_def.h"",""start_line"":4929,""symbol"":""zend_cannot_pass_by_ref_helper""},{""end_line"":4977,""path"":""Zend/zend_vm_def.h"",""start_line"":4941,""symbol"":""ZEND_SEND_VAL_EX""},{""end_line"":2084,""path"":""ext/opcache/jit/zend_jit.c"",""start_line"":2084,""symbol"":""ZEND_SEND_VAL_EX""},{""end_line"":5295,""path"":""ext/opcache/jit/zend_jit_trace.c"",""start_line"":5295,""symbol"":""ZEND_SEND_VAL_EX""}]","The cited VM handler and operand declaration provide the exception, bailout, destructor paths used for this conservative annotation; JIT status uses only cited compiler cases. Dispatched helper definitions (zend_cannot_pass_by_ref_helper) are cited and included in the conservative effect union."
117,ZEND_SEND_VAR,"{""dispatches"":[],""extended"":[],""handler_style"":""ZEND_VM_HOT_HANDLER"",""op1"":[""VAR"",""CV""],""op2"":[""CONST"",""UNUSED"",""NUM""],""spec"":[],""variants"":[{""condition"":""op->op2_type == IS_UNUSED && (op1_info & (MAY_BE_UNDEF|MAY_BE_REF)) == 0"",""extended"":[],""handler_style"":""ZEND_VM_HOT_TYPE_SPEC_HANDLER"",""name"":""ZEND_SEND_VAR_SIMPLE"",""op1"":[""CV"",""VAR""],""op2"":[""NUM""],""source_line"":10494,""spec"":[]}]}",none,conditional,conditional,never,conditional,"The cited handler contains an explicit reference, indirect, dereference, or separation path; preserve alias identity and the listed ownership actions.",never,never,both,runtime.reference,not_started,not_started,"[""destructor"",""exception"",""reference""]","[""bailout"",""call_internal"",""read_memory"",""reenter_php"",""run_destructor"",""throw"",""write_memory""]","[""engine.exception"",""frame.args"",""frame.call_chain"",""frame.locals"",""frame.temps"",""heap.reference"",""heap.string"",""heap.zval"",""runtime.cache""]","[""engine.exception"",""frame.args"",""frame.call_chain"",""heap.zval""]","[""borrow"",""canonicalize"",""conditional_destroy"",""copy_addref"",""move""]","[""bailout"",""destructor"",""exception"",""reentrancy"",""safepoint""]","[""contract.opcode_matrix"",""opcode.ZEND_SEND_VAR""]","[{""end_line"":5024,""path"":""Zend/zend_vm_def.h"",""start_line"":4978,""symbol"":""ZEND_SEND_VAR""},{""end_line"":2108,""path"":""ext/opcache/jit/zend_jit.c"",""start_line"":2108,""symbol"":""ZEND_SEND_VAR""},{""end_line"":5336,""path"":""ext/opcache/jit/zend_jit_trace.c"",""start_line"":5336,""symbol"":""ZEND_SEND_VAR""}]","The cited VM handler and operand declaration provide the exception, bailout, destructor, reference/indirect paths used for this conservative annotation; JIT status uses only cited compiler cases."
118,ZEND_INIT_USER_CALL,"{""dispatches"":[],""extended"":[""NUM""],""handler_style"":""ZEND_VM_HANDLER"",""op1"":[""CONST""],""op2"":[""CONST"",""TMP"",""CV""],""spec"":[],""variants"":[]}",call_frame,conditional,conditional,never,conditional,The cited handler has no reference-specific path; ordinary zval operands may still be dereferenced only according to their declared handler forms.,never,never,partial,call.dynamic,not_started,not_started,"[""call"",""destructor"",""exception"",""zts""]","[""allocate"",""bailout"",""call_internal"",""read_memory"",""reenter_php"",""run_destructor"",""throw"",""write_memory""]","[""engine.exception"",""frame.args"",""frame.call_chain"",""frame.locals"",""frame.temps"",""heap.object"",""heap.zval"",""runtime.cache""]","[""engine.exception"",""frame.call_chain"",""gc.metadata"",""heap.zval""]","[""conditional_destroy"",""copy_addref"",""transfer""]","[""bailout"",""destructor"",""exception"",""reentrancy"",""safepoint""]","[""contract.opcode_matrix"",""opcode.ZEND_INIT_USER_CALL""]","[{""end_line"":4046,""path"":""Zend/zend_vm_def.h"",""start_line"":3975,""symbol"":""ZEND_INIT_USER_CALL""},{""end_line"":279,""path"":""ext/opcache/jit/zend_jit.c"",""start_line"":279,""symbol"":""ZEND_INIT_USER_CALL""}]","The cited VM handler and operand declaration provide the exception, bailout, destructor, allocation, ZTS executor-global paths used for this conservative annotation; JIT status uses only cited compiler cases."
119,ZEND_SEND_ARRAY,"{""dispatches"":[],""extended"":[""NUM""],""handler_style"":""ZEND_VM_HANDLER"",""op1"":[""ANY""],""op2"":[""ANY""],""spec"":[],""variants"":[]}",none,conditional,conditional,never,conditional,"The cited handler contains an explicit reference, indirect, dereference, or separation path; preserve alias identity and the listed ownership actions.",never,never,trace,runtime.reference,not_started,not_started,"[""destructor"",""exception"",""reference""]","[""allocate"",""bailout"",""call_internal"",""read_memory"",""reenter_php"",""run_destructor"",""throw"",""write_memory""]","[""engine.exception"",""frame.args"",""frame.call_chain"",""heap.array"",""heap.reference"",""heap.string"",""heap.zval""]","[""engine.exception"",""frame.args"",""frame.call_chain"",""gc.metadata"",""heap.zval""]","[""borrow"",""canonicalize"",""conditional_destroy"",""copy_addref"",""cow_separate""]","[""bailout"",""destructor"",""exception"",""reentrancy"",""safepoint""]","[""contract.opcode_matrix"",""opcode.ZEND_SEND_ARRAY""]","[{""end_line"":5671,""path"":""Zend/zend_vm_def.h"",""start_line"":5521,""symbol"":""ZEND_SEND_ARRAY""},{""end_line"":6457,""path"":""ext/opcache/jit/zend_jit_trace.c"",""start_line"":6457,""symbol"":""ZEND_SEND_ARRAY""}]","The cited VM handler and operand declaration provide the exception, bailout, destructor, allocation, reference/indirect paths used for this conservative annotation; JIT status uses only cited compiler cases."
120,ZEND_SEND_USER,"{""dispatches"":[],""extended"":[],""handler_style"":""ZEND_VM_HANDLER"",""op1"":[""CONST"",""TMP"",""CV""],""op2"":[""NUM""],""spec"":[],""variants"":[]}",none,conditional,conditional,never,conditional,"The cited handler contains an explicit reference, indirect, dereference, or separation path; preserve alias identity and the listed ownership actions.",never,never,partial,runtime.misc,not_started,not_started,"[""destructor"",""exception"",""reference""]","[""allocate"",""bailout"",""call_internal"",""read_memory"",""reenter_php"",""run_destructor"",""throw"",""write_memory""]","[""engine.exception"",""frame.args"",""frame.call_chain"",""frame.locals"",""frame.temps"",""heap.reference"",""heap.zval""]","[""engine.exception"",""frame.args"",""frame.call_chain"",""gc.metadata"",""heap.zval""]","[""borrow"",""canonicalize"",""conditional_destroy"",""copy_addref""]","[""bailout"",""destructor"",""exception"",""reentrancy"",""safepoint""]","[""contract.opcode_matrix"",""opcode.ZEND_SEND_USER""]","[{""end_line"":5692,""path"":""Zend/zend_vm_def.h"",""start_line"":5672,""symbol"":""ZEND_SEND_USER""},{""end_line"":269,""path"":""ext/opcache/jit/zend_jit.c"",""start_line"":269,""symbol"":""ZEND_SEND_USER""}]","The cited VM handler and operand declaration provide the exception, bailout, destructor, allocation, reference/indirect paths used for this conservative annotation; JIT status uses only cited compiler cases."
121,ZEND_STRLEN,"{""dispatches"":[],""extended"":[],""handler_style"":""ZEND_VM_COLD_CONST_HANDLER"",""op1"":[""CONST"",""TMP"",""CV""],""op2"":[""ANY""],""spec"":[],""variants"":[]}",temporary,conditional,conditional,never,conditional,"The cited handler contains an explicit reference, indirect, dereference, or separation path; preserve alias identity and the listed ownership actions.",never,never,both,runtime.reference,not_started,not_started,"[""destructor"",""exception"",""reference"",""zts""]","[""bailout"",""call_internal"",""read_memory"",""reenter_php"",""run_destructor"",""throw"",""write_memory""]","[""engine.exception"",""frame.call_chain"",""frame.locals"",""frame.temps"",""heap.reference"",""heap.string"",""heap.zval""]","[""engine.exception"",""frame.call_chain"",""frame.temps"",""heap.reference"",""heap.zval""]","[""canonicalize"",""conditional_destroy"",""copy_addref"",""produce_owned""]","[""bailout"",""destructor"",""exception"",""reentrancy"",""safepoint""]","[""contract.opcode_matrix"",""opcode.ZEND_STRLEN""]","[{""end_line"":8865,""path"":""Zend/zend_vm_def.h"",""start_line"":8804,""symbol"":""ZEND_STRLEN""},{""end_line"":2545,""path"":""ext/opcache/jit/zend_jit.c"",""start_line"":2545,""symbol"":""ZEND_STRLEN""},{""end_line"":6227,""path"":""ext/opcache/jit/zend_jit_trace.c"",""start_line"":6227,""symbol"":""ZEND_STRLEN""}]","The cited VM handler and operand declaration provide the exception, bailout, destructor, reference/indirect, ZTS executor-global paths used for this conservative annotation; JIT status uses only cited compiler cases."
122,ZEND_DEFINED,"{""dispatches"":[],""extended"":[""CACHE_SLOT""],""handler_style"":""ZEND_VM_HOT_HANDLER"",""op1"":[""CONST""],""op2"":[""ANY""],""spec"":[],""variants"":[]}",temporary,never,never,never,never,The cited handler has no reference-specific path; ordinary zval operands may still be dereferenced only according to their declared handler forms.,never,never,both,runtime.misc,not_started,not_started,"[""zts""]","[""call_internal"",""read_memory"",""write_memory""]","[""heap.array"",""runtime.cache""]","[""frame.temps""]","[""produce_owned""]",[],"[""contract.opcode_matrix"",""opcode.ZEND_DEFINED""]","[{""end_line"":8957,""path"":""Zend/zend_vm_def.h"",""start_line"":8935,""symbol"":""ZEND_DEFINED""},{""end_line"":2234,""path"":""ext/opcache/jit/zend_jit.c"",""start_line"":2234,""symbol"":""ZEND_DEFINED""},{""end_line"":5530,""path"":""ext/opcache/jit/zend_jit_trace.c"",""start_line"":5530,""symbol"":""ZEND_DEFINED""}]",The cited VM handler and operand declaration provide the ZTS executor-global paths used for this conservative annotation; JIT status uses only cited compiler cases.
123,ZEND_TYPE_CHECK,"{""dispatches"":[],""extended"":[""TYPE_MASK""],""handler_style"":""ZEND_VM_HOT_NOCONST_HANDLER"",""op1"":[""CONST"",""TMP"",""CV""],""op2"":[""ANY""],""spec"":[],""variants"":[]}",temporary,conditional,conditional,never,conditional,"The cited handler contains an explicit reference, indirect, dereference, or separation path; preserve alias identity and the listed ownership actions.",never,never,both,scalar.compare,not_started,not_started,"[""destructor"",""exception"",""reference"",""zts""]","[""bailout"",""call_internal"",""read_memory"",""reenter_php"",""run_destructor"",""throw"",""write_memory""]","[""engine.exception"",""frame.call_chain"",""frame.locals"",""frame.temps"",""heap.reference"",""heap.zval""]","[""engine.exception"",""frame.call_chain"",""frame.temps"",""heap.reference"",""heap.zval""]","[""canonicalize"",""conditional_destroy"",""produce_owned""]","[""bailout"",""destructor"",""exception"",""reentrancy"",""safepoint""]","[""contract.opcode_matrix"",""opcode.ZEND_TYPE_CHECK""]","[{""end_line"":8901,""path"":""Zend/zend_vm_def.h"",""start_line"":8866,""symbol"":""ZEND_TYPE_CHECK""},{""end_line"":2253,""path"":""ext/opcache/jit/zend_jit.c"",""start_line"":2253,""symbol"":""ZEND_TYPE_CHECK""},{""end_line"":5549,""path"":""ext/opcache/jit/zend_jit_trace.c"",""start_line"":5549,""symbol"":""ZEND_TYPE_CHECK""}]","The cited VM handler and operand declaration provide the exception, bailout, destructor, reference/indirect, ZTS executor-global paths used for this conservative annotation; JIT status uses only cited compiler cases."
124,ZEND_VERIFY_RETURN_TYPE,"{""dispatches"":[],""extended"":[],""handler_style"":""ZEND_VM_COLD_CONST_HANDLER"",""op1"":[""CONST"",""TMP"",""VAR"",""UNUSED"",""CV""],""op2"":[""UNUSED""],""spec"":[],""variants"":[]}",temporary,conditional,never,never,never,"The cited handler contains an explicit reference, indirect, dereference, or separation path; preserve alias identity and the listed ownership actions.",never,never,both,runtime.reference,not_started,not_started,"[""exception"",""reference"",""zts""]","[""call_internal"",""read_memory"",""throw"",""write_memory""]","[""engine.exception"",""frame.args"",""frame.call_chain"",""frame.locals"",""frame.temps"",""heap.reference""]","[""engine.exception"",""frame.temps"",""heap.reference""]","[""canonicalize"",""copy_addref"",""produce_owned""]","[""exception""]","[""contract.opcode_matrix"",""opcode.ZEND_VERIFY_RETURN_TYPE""]","[{""end_line"":4537,""path"":""Zend/zend_vm_def.h"",""start_line"":4468,""symbol"":""ZEND_VERIFY_RETURN_TYPE""},{""end_line"":2575,""path"":""ext/opcache/jit/zend_jit.c"",""start_line"":2575,""symbol"":""ZEND_VERIFY_RETURN_TYPE""},{""end_line"":6290,""path"":""ext/opcache/jit/zend_jit_trace.c"",""start_line"":6290,""symbol"":""ZEND_VERIFY_RETURN_TYPE""}]","The cited VM handler and operand declaration provide the exception, reference/indirect, ZTS executor-global paths used for this conservative annotation; JIT status uses only cited compiler cases."
125,ZEND_FE_RESET_RW,"{""dispatches"":[],""extended"":[],""handler_style"":""ZEND_VM_COLD_CONST_HANDLER"",""op1"":[""CONST"",""TMP"",""VAR"",""CV""],""op2"":[""JMP_ADDR""],""spec"":[],""variants"":[]}",temporary,conditional,conditional,conditional,conditional,"The cited handler contains an explicit reference, indirect, dereference, or separation path; preserve alias identity and the listed ownership actions.",never,conditional,trace,runtime.array,not_started,not_started,"[""destructor"",""exception"",""interrupt"",""reference"",""zts""]","[""allocate"",""bailout"",""call_internal"",""call_php"",""interrupt_boundary"",""read_memory"",""reenter_php"",""run_destructor"",""throw"",""write_memory""]","[""engine.exception"",""engine.interrupt"",""frame.call_chain"",""frame.locals"",""frame.temps"",""heap.array"",""heap.object"",""heap.reference"",""heap.zval""]","[""engine.exception"",""engine.interrupt"",""frame.call_chain"",""frame.temps"",""gc.metadata"",""heap.reference"",""heap.zval""]","[""canonicalize"",""conditional_destroy"",""copy_addref"",""cow_separate"",""move"",""produce_owned""]","[""bailout"",""destructor"",""exception"",""interrupt"",""reentrancy"",""safepoint""]","[""contract.opcode_matrix"",""opcode.ZEND_FE_RESET_RW""]","[{""end_line"":4350,""path"":""Zend/zend_execute.c"",""start_line"":4314,""symbol"":""vm_interrupt""},{""end_line"":7094,""path"":""Zend/zend_vm_def.h"",""start_line"":6996,""symbol"":""ZEND_FE_RESET_RW""},{""end_line"":17228,""path"":""ext/opcache/jit/zend_jit_ir.c"",""start_line"":17228,""symbol"":""ZEND_FE_RESET_RW""}]","The cited VM handler and operand declaration provide the exception, bailout, PHP-call/reentrancy, destructor, interrupt, allocation, reference/indirect, ZTS executor-global paths used for this conservative annotation; JIT status uses only cited compiler cases."
126,ZEND_FE_FETCH_RW,"{""dispatches"":[],""extended"":[""JMP_ADDR""],""handler_style"":""ZEND_VM_HANDLER"",""op1"":[""VAR""],""op2"":[""ANY""],""spec"":[],""variants"":[]}",temporary,conditional,conditional,never,conditional,"The cited handler contains an explicit reference, indirect, dereference, or separation path; preserve alias identity and the listed ownership actions.",never,never,trace,runtime.reference,not_started,not_started,"[""destructor"",""exception"",""reference"",""zts""]","[""allocate"",""bailout"",""call_internal"",""read_memory"",""reenter_php"",""run_destructor"",""throw"",""write_memory""]","[""engine.exception"",""frame.call_chain"",""frame.temps"",""heap.array"",""heap.object"",""heap.reference"",""heap.string"",""heap.zval""]","[""engine.exception"",""frame.call_chain"",""frame.temps"",""gc.metadata"",""heap.reference"",""heap.zval""]","[""canonicalize"",""conditional_destroy"",""copy_addref"",""move"",""produce_owned""]","[""bailout"",""destructor"",""exception"",""reentrancy"",""safepoint""]","[""contract.opcode_matrix"",""opcode.ZEND_FE_FETCH_RW""]","[{""end_line"":7503,""path"":""Zend/zend_vm_def.h"",""start_line"":7301,""symbol"":""ZEND_FE_FETCH_RW""},{""end_line"":17234,""path"":""ext/opcache/jit/zend_jit_ir.c"",""start_line"":17234,""symbol"":""ZEND_FE_FETCH_RW""}]","The cited VM handler and operand declaration provide the exception, bailout, destructor, allocation, reference/indirect, ZTS executor-global paths used for this conservative annotation; JIT status uses only cited compiler cases."
127,ZEND_FE_FREE,"{""dispatches"":[],""extended"":[],""handler_style"":""ZEND_VM_HOT_HANDLER"",""op1"":[""TMPVAR""],""op2"":[""LOOP_END""],""spec"":[],""variants"":[]}",none,conditional,conditional,never,conditional,"The cited handler contains an explicit reference, indirect, dereference, or separation path; preserve alias identity and the listed ownership actions.",never,never,both,runtime.reference,not_started,not_started,"[""destructor"",""exception"",""reference""]","[""bailout"",""call_internal"",""read_memory"",""reenter_php"",""run_destructor"",""throw"",""write_memory""]","[""engine.exception"",""frame.call_chain"",""frame.temps"",""heap.array"",""heap.reference"",""heap.zval""]","[""engine.exception"",""frame.call_chain"",""heap.zval""]","[""borrow"",""canonicalize"",""conditional_destroy""]","[""bailout"",""destructor"",""exception"",""reentrancy"",""safepoint""]","[""contract.opcode_matrix"",""opcode.ZEND_FE_FREE""]","[{""end_line"":3307,""path"":""Zend/zend_vm_def.h"",""start_line"":3283,""symbol"":""ZEND_FE_FREE""},{""end_line"":2530,""path"":""ext/opcache/jit/zend_jit.c"",""start_line"":2530,""symbol"":""ZEND_FE_FREE""},{""end_line"":6210,""path"":""ext/opcache/jit/zend_jit_trace.c"",""start_line"":6210,""symbol"":""ZEND_FE_FREE""}]","The cited VM handler and operand declaration provide the exception, bailout, destructor, reference/indirect paths used for this conservative annotation; JIT status uses only cited compiler cases."
128,ZEND_INIT_DYNAMIC_CALL,"{""dispatches"":[],""extended"":[""NUM""],""handler_style"":""ZEND_VM_HANDLER"",""op1"":[""ANY""],""op2"":[""CONST"",""TMP"",""CV""],""spec"":[],""variants"":[]}",call_frame,conditional,conditional,never,conditional,"The cited handler contains an explicit reference, indirect, dereference, or separation path; preserve alias identity and the listed ownership actions.",never,never,trace,call.dynamic,not_started,not_started,"[""call"",""destructor"",""exception"",""reference"",""zts""]","[""bailout"",""call_internal"",""read_memory"",""reenter_php"",""run_destructor"",""throw"",""write_memory""]","[""engine.exception"",""frame.args"",""frame.call_chain"",""frame.locals"",""frame.temps"",""heap.array"",""heap.object"",""heap.reference"",""heap.string"",""heap.zval""]","[""engine.exception"",""frame.call_chain"",""heap.zval""]","[""canonicalize"",""conditional_destroy"",""transfer""]","[""bailout"",""destructor"",""exception"",""reentrancy"",""safepoint""]","[""contract.opcode_matrix"",""opcode.ZEND_INIT_DYNAMIC_CALL""]","[{""end_line"":3974,""path"":""Zend/zend_vm_def.h"",""start_line"":3922,""symbol"":""ZEND_INIT_DYNAMIC_CALL""},{""end_line"":6446,""path"":""ext/opcache/jit/zend_jit_trace.c"",""start_line"":6446,""symbol"":""ZEND_INIT_DYNAMIC_CALL""}]","The cited VM handler and operand declaration provide the exception, bailout, destructor, reference/indirect, ZTS executor-global paths used for this conservative annotation; JIT status uses only cited compiler cases."
